Company Name,Industry,Data Received,Data Amount (GB)
"Dillon, Fletcher and Brown",Real Estate,Daily,3537.61
"Wilcox, Rodriguez and Chambers",Healthcare,Daily,3011.01
Andrews Group,Finance,Weekly,4059.32
Curry-Elliott,Healthcare,Monthly,2866.23
"Morgan, Howard and Turner",Energy,Monthly,4506.31
David Group,Healthcare,Weekly,4593.86
"Miller, Marsh and Nelson",Real Estate,Annually,3842.04
"Scott, Peters and Harris",Healthcare,Weekly,2162.92
Carlson-Choi,Telecom,Annually,3185.35
Hopkins PLC,Tech,Daily,2137.97
